"","patent_id","ipc_section"
"1","10000000","G"
"2","10000001","B"
"3","10000001","G"
"4","10000002","B"
"5","10000003","B"
"6","10000003","C"
"7","10000004","B"
"8","10000005","B"
"9","10000006","B"
"10","10000007","B"
"11","10000008","B"
"12","10000008","A"
"13","10000009","B"
"14","10000010","B"
"15","10000011","B"
"16","10000014","B"
"17","10000015","B"
"18","10000016","B"
"19","10000017","B"
"20","10000017","F"
"21","10000018","B"
"22","10000018","C"
"23","10000018","G"
"24","10000018","H"
"25","10000018","F"
"26","10000019","B"
"27","10000020","B"
"28","10000021","B"
"29","10000022","B"
"30","10000022","C"
"31","10000023","B"
"32","10000023","G"
"33","10000024","G"
"34","10000024","B"
"35","10000025","B"
"36","10000026","H"
"37","10000026","B"
"38","10000027","B"
"39","10000028","A"
"40","10000028","B"
"41","10000028","C"
"42","10000028","D"
"43","10000029","F"
"44","10000029","B"
"45","10000030","B"
"46","10000031","B"
"47","10000032","B"
"48","10000033","H"
"49","10000033","B"
"50","10000034","G"
"51","10000034","B"
"52","10000035","F"
"53","10000035","B"
"54","10000036","B"
"55","10000036","F"
"56","10000036","D"
"57","10000036","C"
"58","10000037","B"
"59","10000037","A"
"60","10000037","G"
"61","10000038","B"
"62","10000038","C"
"63","10000038","H"
"64","10000039","B"
"65","10000039","C"
"66","10000040","B"
"67","10000040","E"
"68","10000041","B"
"69","10000042","B"
"70","10000043","B"
"71","10000044","B"
"72","10000044","A"
"73","10000045","B"
"74","10000045","F"
"75","10000046","B"
"76","10000046","C"
"77","10000047","G"
"78","10000047","B"
"79","10000048","B"
"80","10000048","E"
"81","10000049","B"
"82","10000050","B"
"83","10000051","B"
"84","10000052","B"
"85","10000052","G"
"86","10000053","B"
"87","10000054","B"
"88","10000055","G"
"89","10000055","B"
"90","10000056","B"
"91","10000056","H"
"92","10000057","B"
"93","10000058","B"
"94","10000058","H"
"95","10000059","B"
"96","10000060","B"
"97","10000061","B"
"98","10000061","H"
"99","10000062","B"
"100","10000063","B"
"101","10000064","B"
"102","10000065","B"
"103","10000066","B"
"104","10000067","B"
"105","10000067","C"
"106","10000068","B"
"107","10000069","B"
"108","10000070","B"
"109","10000071","B"
"110","10000072","B"
"111","10000072","H"
"112","10000073","B"
"113","10000074","B"
"114","10000074","G"
"115","10000075","B"
"116","10000076","B"
"117","10000076","F"
"118","10000078","B"
"119","10000079","B"
"120","10000080","B"
"121","10000080","G"
"122","10000081","B"
"123","10000082","B"
"124","10000082","G"
"125","10000083","B"
"126","10000084","G"
"127","10000084","B"
"128","10000085","B"
"129","10000086","B"
"130","10000087","B"
"131","10000087","G"
"132","10000087","A"
"133","10000088","B"
"134","10000089","B"
"135","10000090","B"
"136","10000091","B"
"137","10000092","B"
"138","10000093","B"
"139","10000094","B"
"140","10000095","B"
"141","10000096","B"
"142","10000097","B"
"143","10000097","H"
"144","10000098","B"
"145","10000099","B"
"146","10000100","B"
"147","10000101","B"
"148","10000101","G"
"149","10000102","B"
"150","10000103","B"
"151","10000104","F"
"152","10000104","B"
"153","10000105","B"
"154","10000106","B"
"155","10000106","H"
"156","10000106","F"
"157","10000107","F"
"158","10000107","B"
"159","10000108","B"
"160","10000108","F"
"161","10000109","F"
"162","10000109","B"
"163","10000110","B"
"164","10000111","B"
"165","10000112","B"
"166","10000113","B"
"167","10000114","B"
"168","10000115","F"
"169","10000115","B"
"170","10000116","B"
"171","10000116","F"
"172","10000117","B"
"173","10000118","B"
"174","10000118","F"
"175","10000119","B"
"176","10000119","F"
"177","10000120","B"
"178","10000120","G"
"179","10000121","B"
"180","10000121","G"
"181","10000122","B"
"182","10000122","H"
"183","10000123","B"
"184","10000124","G"
"185","10000124","B"
"186","10000125","B"
"187","10000125","H"
"188","10000126","H"
"189","10000126","B"
"190","10000127","B"
"191","10000128","H"
"192","10000128","B"
"193","10000128","G"
"194","10000129","H"
"195","10000129","B"
"196","10000130","H"
"197","10000130","B"
"198","10000131","H"
"199","10000131","B"
"200","10000132","B"
"201","10000133","H"
"202","10000133","B"
"203","10000134","H"
"204","10000134","B"
"205","10000135","B"
"206","10000136","B"
"207","10000136","H"
"208","10000137","H"
"209","10000137","B"
"210","10000138","B"
"211","10000138","H"
"212","10000139","B"
"213","10000139","H"
"214","10000140","B"
"215","10000140","H"
"216","10000140","F"
"217","10000141","B"
"218","10000141","H"
"219","10000142","B"
"220","10000143","B"
"221","10000144","B"
"222","10000145","B"
"223","10000145","F"
"224","10000146","B"
"225","10000147","B"
"226","10000148","B"
"227","10000149","B"
"228","10000150","B"
"229","10000150","H"
"230","10000151","B"
"231","10000151","F"
"232","10000152","B"
"233","10000152","G"
"234","10000153","B"
"235","10000153","G"
"236","10000154","H"
"237","10000154","B"
"238","10000154","G"
"239","10000155","B"
"240","10000156","B"
"241","10000157","B"
"242","10000157","H"
"243","10000157","G"
"244","10000158","B"
"245","10000158","A"
"246","10000159","B"
"247","10000159","F"
"248","10000160","B"
"249","10000160","F"
"250","10000160","H"
"251","10000161","B"
"252","10000162","B"
"253","10000162","H"
"254","10000163","B"
"255","10000163","G"
"256","10000163","H"
"257","10000164","G"
"258","10000164","B"
"259","10000164","H"
"260","10000165","B"
"261","10000166","B"
"262","10000167","B"
"263","10000167","H"
"264","10000168","B"
"265","10000168","H"
"266","10000169","B"
"267","10000170","B"
"268","10000171","B"
"269","10000172","B"
"270","10000172","E"
"271","10000172","G"
"272","10000174","B"
"273","10000175","B"
"274","10000176","B"
"275","10000177","B"
"276","10000178","B"
"277","10000179","B"
"278","10000180","B"
"279","10000181","B"
"280","10000182","B"
"281","10000183","B"
"282","10000184","B"
"283","10000185","B"
"284","10000185","F"
"285","10000186","B"
"286","10000187","B"
"287","10000188","B"
"288","10000188","G"
"289","10000189","B"
"290","10000190","B"
"291","10000190","F"
"292","10000191","B"
"293","10000192","F"
"294","10000192","B"
"295","10000193","B"
"296","10000194","B"
"297","10000195","B"
"298","10000196","B"
"299","10000197","B"
"300","10000198","B"
"301","10000198","F"
"302","10000199","B"
"303","10000200","B"
"304","10000201","B"
"305","10000201","F"
